Model,surah_id,WER
Whisper-Medium (Vanilla),1,0.3827
Whisper-Medium (Vanilla),2,0.4887
Whisper-Medium (Vanilla),3,0.45
Whisper-Medium (Vanilla),5,0.359
Whisper-Medium (Vanilla),6,0.4516
Whisper-Medium (Vanilla),7,0.1875
Whisper-Medium (Vanilla),8,0.4
Whisper-Medium (Vanilla),9,0.2727
Whisper-Medium (Vanilla),10,0.5
Whisper-Medium (Vanilla),11,0.3636
Whisper-Medium (Vanilla),12,0.5556
Whisper-Medium (Vanilla),13,0.4667
Whisper-Medium (Vanilla),14,0.3143
Whisper-Medium (Vanilla),15,0.2105
Whisper-Medium (Vanilla),16,0.3077
Whisper-Medium (Vanilla),17,0.4231
Whisper-Medium (Vanilla),18,0.55
Whisper-Medium (Vanilla),19,1.375
Whisper-Medium (Vanilla),20,0.4
Whisper-Medium (Vanilla),21,0.2143
Whisper-Medium (Vanilla),22,0.3182
Whisper-Medium (Vanilla),23,0.3478
Whisper-Medium (Vanilla),24,0.3333
Whisper-Medium (Vanilla),25,0.4286
Whisper-Medium (Vanilla),28,0.7778
Whisper-Medium (Vanilla),31,0.5
Whisper-Medium (Vanilla),33,0.3
Whisper-Medium (Vanilla),35,0.4167
Whisper-Medium (Vanilla),36,0.5455
Whisper-Medium (Vanilla),37,0.3571
Whisper-Medium (Vanilla),38,0.2692
Whisper-Medium (Vanilla),39,0.5217
Whisper-Medium (Vanilla),42,0.5333
Whisper-Medium (Vanilla),44,0.3846
Whisper-Medium (Vanilla),50,0.1429
Whisper-Medium (Vanilla),51,1.5
Whisper-Medium (Vanilla),53,0.6667
Whisper-Medium (Vanilla),54,0.5
Whisper-Medium (Vanilla),55,0.5
Whisper-Medium (Vanilla),68,0.2222
Whisper-Medium (Vanilla),73,0.8333
Whisper-Medium (Vanilla),74,0.4615
Whisper-Medium (Vanilla),75,0.2
Whisper-Medium (Vanilla),77,0.75
Whisper-Medium (Vanilla),80,0.4545
Whisper-Medium (Vanilla),81,0.3333
Whisper-Medium (Vanilla),84,0.5
Whisper-Medium (Vanilla),86,0.75
Whisper-Medium (Vanilla),87,0.3333
Whisper-Medium (Vanilla),88,0.3333
Whisper-Medium (Vanilla),90,0.6667
Whisper-Medium (Vanilla),93,0.0
Whisper-Medium (Vanilla),107,0.25
Whisper-Medium (Vanilla),113,0.5
Whisper-Medium (Fine-tuned),1,0.037
Whisper-Medium (Fine-tuned),2,0.0752
Whisper-Medium (Fine-tuned),3,0.0
Whisper-Medium (Fine-tuned),5,0.0
Whisper-Medium (Fine-tuned),6,0.3548
Whisper-Medium (Fine-tuned),7,0.0
Whisper-Medium (Fine-tuned),8,0.0333
Whisper-Medium (Fine-tuned),9,0.0
Whisper-Medium (Fine-tuned),10,0.0
Whisper-Medium (Fine-tuned),11,0.0
Whisper-Medium (Fine-tuned),12,0.2593
Whisper-Medium (Fine-tuned),13,0.0
Whisper-Medium (Fine-tuned),14,0.0286
Whisper-Medium (Fine-tuned),15,0.0263
Whisper-Medium (Fine-tuned),16,0.0
Whisper-Medium (Fine-tuned),17,0.3462
Whisper-Medium (Fine-tuned),18,0.0
Whisper-Medium (Fine-tuned),19,0.75
Whisper-Medium (Fine-tuned),20,0.0
Whisper-Medium (Fine-tuned),21,0.0
Whisper-Medium (Fine-tuned),22,0.0227
Whisper-Medium (Fine-tuned),23,0.0
Whisper-Medium (Fine-tuned),24,0.0185
Whisper-Medium (Fine-tuned),25,0.0
Whisper-Medium (Fine-tuned),28,0.0
Whisper-Medium (Fine-tuned),31,0.0
Whisper-Medium (Fine-tuned),33,0.0
Whisper-Medium (Fine-tuned),35,0.0417
Whisper-Medium (Fine-tuned),36,0.0
Whisper-Medium (Fine-tuned),37,0.0
Whisper-Medium (Fine-tuned),38,0.0
Whisper-Medium (Fine-tuned),39,0.0435
Whisper-Medium (Fine-tuned),42,0.1333
Whisper-Medium (Fine-tuned),44,0.0
Whisper-Medium (Fine-tuned),50,0.0
Whisper-Medium (Fine-tuned),51,0.0
Whisper-Medium (Fine-tuned),53,0.0
Whisper-Medium (Fine-tuned),54,0.8333
Whisper-Medium (Fine-tuned),55,0.0
Whisper-Medium (Fine-tuned),68,0.0
Whisper-Medium (Fine-tuned),73,0.0
Whisper-Medium (Fine-tuned),74,0.1538
Whisper-Medium (Fine-tuned),75,0.0
Whisper-Medium (Fine-tuned),77,0.625
Whisper-Medium (Fine-tuned),80,0.0909
Whisper-Medium (Fine-tuned),81,0.0
Whisper-Medium (Fine-tuned),84,0.0
Whisper-Medium (Fine-tuned),86,0.0
Whisper-Medium (Fine-tuned),87,0.0
Whisper-Medium (Fine-tuned),88,0.0
Whisper-Medium (Fine-tuned),90,0.3333
Whisper-Medium (Fine-tuned),93,0.0
Whisper-Medium (Fine-tuned),107,0.0
Whisper-Medium (Fine-tuned),113,0.0
Tadabur-Whisper-Small (Author),1,0.5309
Tadabur-Whisper-Small (Author),2,0.4887
Tadabur-Whisper-Small (Author),3,0.5
Tadabur-Whisper-Small (Author),5,0.5128
Tadabur-Whisper-Small (Author),6,0.5323
Tadabur-Whisper-Small (Author),7,0.2812
Tadabur-Whisper-Small (Author),8,0.4
Tadabur-Whisper-Small (Author),9,0.2727
Tadabur-Whisper-Small (Author),10,0.6429
Tadabur-Whisper-Small (Author),11,0.4805
Tadabur-Whisper-Small (Author),12,0.5556
Tadabur-Whisper-Small (Author),13,0.4333
Tadabur-Whisper-Small (Author),14,0.3429
Tadabur-Whisper-Small (Author),15,0.2895
Tadabur-Whisper-Small (Author),16,0.1538
Tadabur-Whisper-Small (Author),17,0.6154
Tadabur-Whisper-Small (Author),18,0.65
Tadabur-Whisper-Small (Author),19,0.875
Tadabur-Whisper-Small (Author),20,0.48
Tadabur-Whisper-Small (Author),21,0.3571
Tadabur-Whisper-Small (Author),22,0.4773
Tadabur-Whisper-Small (Author),23,0.5652
Tadabur-Whisper-Small (Author),24,0.4259
Tadabur-Whisper-Small (Author),25,0.4762
Tadabur-Whisper-Small (Author),28,0.7222
Tadabur-Whisper-Small (Author),31,0.5
Tadabur-Whisper-Small (Author),33,0.5
Tadabur-Whisper-Small (Author),35,0.4583
Tadabur-Whisper-Small (Author),36,0.5455
Tadabur-Whisper-Small (Author),37,0.4286
Tadabur-Whisper-Small (Author),38,0.4231
Tadabur-Whisper-Small (Author),39,0.4783
Tadabur-Whisper-Small (Author),42,0.4667
Tadabur-Whisper-Small (Author),44,0.3077
Tadabur-Whisper-Small (Author),50,0.1429
Tadabur-Whisper-Small (Author),51,1.0
Tadabur-Whisper-Small (Author),53,0.5556
Tadabur-Whisper-Small (Author),54,0.3333
Tadabur-Whisper-Small (Author),55,0.5
Tadabur-Whisper-Small (Author),68,0.2222
Tadabur-Whisper-Small (Author),73,0.6667
Tadabur-Whisper-Small (Author),74,0.5385
Tadabur-Whisper-Small (Author),75,0.2
Tadabur-Whisper-Small (Author),77,0.625
Tadabur-Whisper-Small (Author),80,0.4545
Tadabur-Whisper-Small (Author),81,0.6667
Tadabur-Whisper-Small (Author),84,0.5
Tadabur-Whisper-Small (Author),86,0.5
Tadabur-Whisper-Small (Author),87,0.5
Tadabur-Whisper-Small (Author),88,0.3333
Tadabur-Whisper-Small (Author),90,0.6667
Tadabur-Whisper-Small (Author),93,0.0
Tadabur-Whisper-Small (Author),107,0.5
Tadabur-Whisper-Small (Author),113,0.5
